month,Company Average,Universal Average
Jan,0.19,0.21
Feb,0.2,0.21
Mar,0.2,0.21
Apr,0.21,0.22
May,0.21,0.22
Jun,0.21,0.22
Jul,0.21,0.22
Aug,0.21,0.22
