month,7-8%,2-4%,1-2%,0.4-0.6%
Jan,0.59,0.58,0.59,4.25
Feb,0.59,0.62,0.68,4.23
Mar,0.66,0.57,0.7,4.3
Apr,0.7,0.59,0.8,4.5
May,0.72,0.62,0.81,4.62
Jun,0.73,0.73,0.91,4.53
Jul,0.73,0.66,0.84,4.61
Aug,0.72,0.65,0.8,4.54
