month,7-8%,2-4%,1-2%,0.4-0.6%
Jan,383225.81,173037.83,81949.6,203446.95
Feb,386419.35,183654.77,93493.17,202828.04
Mar,427935.48,167422.71,98050.18,204576.74
Apr,456677.42,176400.22,113827.39,215880.34
May,472645.16,189286.6,114674.11,222509.63
Jun,482225.81,217825.16,131957.56,218995.58
Jul,482225.81,200475.08,119269.42,223998.01
Aug,482225.81,202164.63,111151.06,222814.2
