month,7-8%,2-4%,1-2%,0.4-0.6%
Jan,-6,-25,-43,-16
Feb,-5,-18,-33,-16
Mar,3,-25,-32,-16
Apr,3,-26,-26,-15
May,2,-22,-29,-15
Jun,4,-10,-21,-17
Jul,5,-13,-24,-16
Aug,2,-12,-28,-18
