Month,ONSET,Universal
Jan ,0.194,0.213
Feb,0.196,0.212
Mar,0.200,0.214
Apr,0.206,0.220
May,0.209,0.223
Jun,0.214,0.222
Jul,0.211,0.220
Aug,0.209,0.221
