month,7-8%,2-4%,1-2%,0.4-0.6%,<0.2%
Jan,0.72,0.94,1.21,5.77,91.37
Feb,0.67,0.84,0.85,5.77,91.86
Mar,0.74,0.88,0.84,5.76,91.78
Apr,0.77,0.89,0.95,6.06,91.33
May,0.87,0.9,1.09,6.35,90.79
Jun,0.85,0.89,1.06,6.44,90.76
Jul,0.89,0.85,1.12,6.48,90.65
Aug,0.92,0.85,1.08,6.46,90.69
