month,11-12%,5-9%,4-5%,0.5-1%
Jan,201412.54,776023.97,23333.33,10436.07
Feb,193135.31,743334.27,18888.89,10273.01
Mar,193135.31,737656.01,18888.89,9783.82
Apr,201412.54,765810.38,21111.11,8805.44
May,209689.77,764727.39,20000,9457.69
Jun,209689.77,744093.67,20000,9620.75
Jul,195894.39,763767.59,20000,9783.82
Aug,187617.16,779586.02,22222.22,10273.01
