month,11-12%,5-9%,4-5%,0.5-1%
Jan,0.28,1.98,0.08,0.24
Feb,0.28,1.96,0.08,0.25
Mar,0.28,1.97,0.09,0.24
Apr,0.29,2.03,0.08,0.25
May,0.29,2.09,0.09,0.25
Jun,0.3,2.07,0.09,0.26
Jul,0.29,2.08,0.09,0.25
Aug,0.3,2.1,0.09,0.26
