month,11-12%,5-9%,4-5%,0.5-1%
Jan,12.65,6.43,14.04,12.89
Feb,9.08,3.15,-8.48,8.48
Mar,6.95,1.95,-14.09,7.77
Apr,9.71,3.18,-0.62,-6.54
May,16.63,5.07,-6.67,4.88
Jun,15.68,3.4,-9.84,4.46
Jul,10.55,6.18,-5.41,7.54
Aug,4.07,7.82,1.91,11.56
