month,Company Average,Universal Average
Jan,0.42,0.4
Feb,0.47,0.46
Mar,0.47,0.46
Apr,0.47,0.47
May,0.48,0.47
Jun,0.48,0.46
Jul,0.48,0.46
Aug,0.49,0.46
