month,11-12%,5-9%,4-5%,0.5-1%
Jan,0.79,-9.26,-14.87,-26.26
Feb,9.83,-3.66,1.8,-26.49
Mar,16.5,-2.82,-14.53,-22.77
Apr,19.22,-2.1,-10.78,-20.78
May,21.52,-1.75,-7.98,-19.03
Jun,20.6,0.57,-2.5,-22.82
Jul,18.98,-2.02,3.64,-22.43
Aug,15.86,-1.12,0.27,-22.57
