month,11-12%,5-9%,4-5%,0.5-1%
Jan,620792.08,2285603.52,60000,23481.16
Feb,678732.67,2427919.1,73333.33,24296.48
Mar,733914.19,2463028.37,65555.56,24459.54
Apr,769782.18,2572104.36,66666.67,26253.24
May,800132.01,2631615.61,72222.22,26742.43
Jun,797372.94,2659543.68,78888.89,25927.12
Jul,769782.18,2589069.03,80000,25764.05
Aug,764264.03,2630395.94,80000,26090.18
