month,11-12%,5-9%,4-5%,0.5-1%
Jan,102085.81,396369,16666.67,9946.88
Feb,104844.88,404613.1,15555.56,10599.14
Mar,107603.96,402107.21,16666.67,9294.63
Apr,126917.49,422384.22,14444.44,9131.56
May,126917.49,435690.01,14444.44,9294.63
Jun,137953.8,443411.06,16666.67,9131.56
Jul,140712.87,468956.43,17777.78,9131.56
Aug,143471.95,480466.29,21111.11,9457.69
