month,11-12%,5-9%,4-5%,0.5-1%,< 0.3%
Jan,-35.17,-37.73,-7.51,22.17,0.82
Feb,-32.9,-35.83,-14.59,26.83,0.76
Mar,-31.83,-36.06,-13.28,17.12,0.79
Apr,-21.91,-35.5,-23.2,9.47,0.8
May,-24.08,-35.24,-27.51,10.84,0.82
Jun,-18.55,-34.02,-19.58,6.12,0.78
Jul,-15.8,-30.82,-10.84,6.43,0.7
Aug,-16.84,-30.58,1.16,7.31,0.69
