month,Company Average,Universal Average
Jan,0.37,0.4
Feb,0.4,0.46
Mar,0.4,0.46
Apr,0.41,0.47
May,0.41,0.47
Jun,0.41,0.46
Jul,0.42,0.46
Aug,0.42,0.46
