Month,7-8%,2-4%,1-2%,0.4-0.6%,<0.2%
Jan,9,48,8,-14,0
Feb,17,56,25,-12,0
Mar,16,56,25,-11,0
Apr,13,48,26,-12,0
May,11,51,24,-12,0
Jun,13,50,19,-10,0
Jul,13,51,14,-11,0
Aug,13,55,17,-11,0
