Month,ONSET,Universal
Jan,0.224,0.213
Feb,0.231,0.212
Mar,0.234,0.214
Apr,0.237,0.220
May,0.240,0.223
Jun,0.241,0.222
Jul,0.237,0.220
Aug,0.238,0.221
