month,7-8%,2-4%,1-2%,0.4-0.6%,<0.2%
Jan,0.072,0.0094,0.0121,0.0577,0.9137
Feb,0.0067,0.0084,0.0085,0.0577,0.9186
Mar,0.0074,0.0088,0.0084,0.0576,0.9178
Apr,0.0077,0.0089,0.0095,0.0606,0.9133
May,0.0087,0.009,0.0109,0.0635,0.9079
Jun,0.0085,0.0089,0.0106,0.0644,0.9076
Jul,0.0089,0.0085,0.0112,0.0648,0.9065
Aug,0.0092,0.0085,0.0108,0.0646,0.9069
