month,7-8%,2-4%,1-2%,0.4-0.6%,<0.2%
Jan,0.16,0.22,0.17,0.13,-0.01
Feb,0.08,0.11,-0.16,0.15,-0.01
Mar,0.15,0.15,-0.18,0.12,-0.01
Apr,0.14,0.12,-0.13,0.14,-0.01
May,0.24,0.13,-0.04,0.17,-0.01
Jun,0.21,0.11,-0.08,0.18,-0.01
Jul,0.28,0.13,0.01,0.18,-0.01
Aug,0.3,0.15,-0.02,0.17,-0.01
