month,7-8%,2-4%,1-2%,0.4-0.6%
Jan,533322.58,343973.3,205997.23,314328.52
Feb,498193.55,303044.72,140424.82,314230.26
Mar,549290.32,315367.91,136714.55,313306.78
Apr,571645.16,319848.32,151657.8,328033.06
May,616354.84,308643.13,170783.61,328872.07
Jun,597193.55,306978.64,164184.25,332822.3
Jul,625935.48,290721.52,171830.33,333600.39
Aug,641903.23,290166.69,163363.07,330660.99
