month,7-8%,2-4%,1-2%,0.4-0.6%
Jan,16,22,17,13
Feb,8,11,-16,15
Mar,15,15,-18,12
Apr,14,12,-13,14
May,24,13,-4,17
Jun,21,11,-8,18
Jul,28,13,1,18
Aug,30,15,-2,17
