month,Company Average,Universal Average
Jan,0.24,0.21
Feb,0.24,0.21
Mar,0.24,0.21
Apr,0.25,0.22
May,0.25,0.22
Jun,0.25,0.22
Jul,0.25,0.22
Aug,0.24,0.22
