month,7-8%,2-4%,1-2%,0.4-0.6%
Jan,9,48,8,-14
Feb,17,56,25,-12
Mar,16,56,25,-11
Apr,13,48,26,-12
May,11,51,24,-12
Jun,13,50,19,-10
Jul,13,51,14,-11
Aug,13,55,17,-11
