month,Company Average,Universal Average
Jan,0.22,0.21
Feb,0.23,0.21
Mar,0.23,0.21
Apr,0.24,0.22
May,0.24,0.22
Jun,0.24,0.22
Jul,0.24,0.22
Aug,0.24,0.22
